이름,위치,선거구,회,몇번,gender,정당,나이,job,당시여당평가,당선,득표율,학력,과,경력,인지,지역구분
문군자,서울,서대문구,5,3,여,rev,67,,47.25,False,-2.2018224323754554,,,False,0.001744584976313291,2
서호성,서울,서대문구,5,3,남,rev,42,,47.25,False,-2.482255681865782,,,False,0.002154648174550358,2
서정수,서울,서대문구,5,3,남,rem,46,,47.25,False,-2.0592825174645437,연세대,행정,False,0.006246311292089231,2
이기돈,서울,서대문구,5,3,남,con,55,,47.25,True,-0.8601275319605287,,경영,False,0.0018641820575948848,2
김정철,서울,서대문구,5,3,남,con,55,,47.25,False,-1.7046638980191506,,,False,0.4940624103889697,2
백인기,서울,서대문구,5,3,남,rev,55,정당인,47.25,False,-0.8610825483397875,연세대,행정,False,0.00181450660886108,2
윤유현,서울,서대문구,5,,남,rev,49,,47.25,False,-1.6679202435072735,,,False,0.008758393272574565,2
홍성덕,서울,서대문구,5,3,남,con,64,,47.25,False,-2.8199848046930343,,,False,0.012741151940807912,2
서종수,서울,마포구,5,3,남,con,48,정당인,47.25,True,-0.7876613098498392,,,True,0.0009669282348584176,2
강동오,서울,마포구,5,3,남,con,47,,47.25,False,-1.967317609817932,,,False,0.0006027245285563766,2
마동환,서울,마포구,5,3,남,rev,49,,47.25,False,-1.3807219808419675,,,False,9.097531293095377e-06,2
천민식,서울,마포구,5,3,남,rev,59,,47.25,False,-1.752811800719269,,,,1.1721402601163912e-05,2
반진규,서울,마포구,5,3,남,rev,28,정당인,47.25,False,-1.7417930902396686,,경제,True,1.2575180174527811e-05,2
최병삼,서울,마포구,,3,남,rem,,,47.25,False,-3.2680648125136806,,경영,False,0.00028296848732317956,2
박영길,서울,마포구,5,3,남,con,69,,47.25,True,-1.1194012190459874,서울대,,False,0.003283538465393024,2
고창훈,서울,마포구,5,3,남,con,48,,47.25,False,-2.414936401617041,,,False,,2
정형기,서울,마포구,5,3,남,rev,66,정당인,47.25,False,-1.2269385032911744,,,False,0.0019500823030102609,2
강원돈,서울,마포구,5,3,남,rev,54,,47.25,False,-1.8925986905115253,,,False,2.949709993608378e-06,2
윤성일,서울,마포구,5,3,남,rev,34,정당인,47.25,False,-1.2967926712744997,연세대,경영,False,0.002721118716550456,2
조영권,서울,마포구,5,3,남,rev,35,,47.25,False,-3.0764426532642113,,,False,0.0021669160781311427,2
오승록,서울,마포구,5,3,남,rem,52,,47.25,False,-3.5213445851359815,,,False,0.01064977633259938,2
조영덕,서울,마포구,5,3,남,con,47,,47.25,True,-1.277590837428802,,행정,False,0.0009531783177442117,2
이학래,서울,마포구,5,3,남,con,52,,47.25,False,-1.8510093485921468,,,False,0.0009761450925835307,2
장영숙,서울,마포구,,3,여,rev,52,,47.25,False,-1.018750653721635,,경제,False,0.0024475208078029807,2
김용덕,서울,마포구,5,3,남,rev,37,,47.25,False,-1.5073267289887198,,경제,False,0.022194580972285757,2
김한수,서울,마포구,5,3,남,rev,60,,47.25,False,-4.6858156225869605,,,False,0.20115763670779507,2
남두희,서울,마포구,5,3,남,rem,63,,47.25,False,-2.191131797920095,,,False,1.6944462347012657e-05,2
김정일,서울,마포구,5,3,남,rem,62,,47.25,,-2.7542324169365706,,,False,0.2417299704288864,2
조남진,서울,마포구,5,1,남,con,54,정당인,47.25,True,-0.2995902465117766,,경영,False,0.007003659421149731,2
김순금,서울,마포구,5,3,여,rev,63,정당인,47.25,False,-0.8053837647345217,,행정,False,0.0004813530780107678,2
유문숙,서울,마포구,5,3,여,rev,49,정당인,47.25,False,-1.630993059425243,,,False,4.278701109654308e-05,2
박지위,서울,마포구,5,3,남,rem,60,,47.25,False,-2.4223914689910417,,,False,3.142904837090719e-07,2
송병길,서울,마포구,5,3,남,con,46,,47.25,True,-1.1148266940205058,,,False,0.0017593576479199601,2
김영신,서울,마포구,5,3,남,con,58,정당인,47.25,False,-1.8423650973732668,,,True,0.014463141134690502,2
유동균,서울,마포구,5,3,남,rev,47,,47.25,False,-1.0483394787258409,,행정,False,0.05401832108815728,2
정연우,서울,마포구,5,3,남,rev,,,47.25,False,-1.6870868128809942,,,False,0.011352633840825507,2
장병곤,서울,마포구,5,3,남,con,49,,47.25,False,-3.4122947881933965,,,False,2.369611168967905e-05,2
이봉수,서울,마포구,,3,남,rev,47,,47.25,False,-1.8126533280839967,,,False,0.003810441809765838,2
윤동현,서울,마포구,5,3,남,con,60,,47.25,True,-0.9425784565808464,,,False,0.0047572190342371175,2
이단아,서울,마포구,5,3,여,con,26,,47.25,False,-2.36283126325504,,,False,0.01596530220797548,2
한일용,서울,마포구,5,3,남,rev,47,정당인,47.25,False,-1.208979696939228,,,False,0.0004664826339106646,2
김세창,서울,마포구,5,3,남,rev,51,정당인,47.25,False,-1.5075679835604263,,행정,False,0.004327218648975976,2
오현주,서울,마포구,5,3,여,rev,30,정당인,47.25,False,-1.3972946322399245,,,False,0.020740561960978475,2
차재홍,서울,마포구,5,3,남,con,58,정당인,47.25,True,-0.9598824174437524,,,True,0.00035705410066688855,2
이진환,서울,마포구,5,3,남,con,54,,47.25,False,-1.9225869233805648,,행정,False,0.008565403889905959,2
김효철,서울,마포구,5,3,남,rev,60,정당인,47.25,False,-1.0677024052968145,,,False,0.0007114983435346575,2
김영미,서울,마포구,5,3,여,rev,52,정당인,47.25,False,-1.8432931193432376,,,True,0.2989227511409642,2
문치웅,서울,마포구,5,3,남,rem,39,,47.25,False,-1.5238537963657253,,경영,False,5.903518687626265e-05,2
강성국,서울,마포구,5,3,남,con,31,,47.25,True,-1.1616142252397768,고려대,행정,False,0.0015790764688771025,2
김기석,서울,마포구,5,3,남,con,51,,47.25,False,-1.9448869700277944,,,False,0.016160963192050223,2
이병만,서울,마포구,5,3,남,rev,46,,47.25,False,-1.354729853801058,,,False,0.0017932471673849336,2
이성용,서울,마포구,5,3,남,rev,53,,47.25,False,,,,False,0.03876003763852452,2
오진아,서울,마포구,5,3,여,rev,38,정당인,47.25,False,-1.111421752854224,,,False,0.0017179022351932222,2
박태문,서울,양천구,,3,남,,51,,47.25,True,-0.7619793104921798,,경영,True,1.153487061466714e-05,3
조영길,서울,양천구,5,3,남,con,53,정당인,47.25,False,-1.698716104511043,,,False,0.0009141868003280033,3
위형운,서울,양천구,5,2,남,rev,45,,47.25,False,0.018754279108083357,,,False,8.868120039326023e-07,3
최진표,서울,양천구,5,3,남,con,40,,47.25,True,-0.7668521376088074,,,,2.5036666528662348e-06,3
이재식,서울,양천구,5,3,남,con,51,,47.25,False,-1.5694002518017247,연세대,,False,,3
김경자,서울,양천구,5,2,여,rev,50,정당인,47.25,False,-0.5273401917358849,,,False,0.0018248111099876355,3
이상섭,서울,양천구,5,3,남,rem,52,,47.25,False,-2.02771596024696,,,False,0.0009418084563839648,3
,서울,양천구,5,3,남,con,62,,47.25,False,-1.1640561969204934,,경영,False,9.416284161833255e-07,3
조재현,서울,양천구,5,3,남,con,34,,47.25,True,-0.913878185468771,,,False,0.8413708962257785,3
이동만,서울,양천구,5,2,,rev,55,정당인,47.25,False,-0.4032279970504758,,,False,0.00022575481990501285,3
정별진,서울,양천구,5,3,남,rem,42,,47.25,False,-2.937321300313977,,,,2.184627374724589e-06,3
임옥연,서울,양천구,5,3,여,con,50,,47.25,True,-0.9767915070126189,,법,True,8.034416258789256e-05,3
장용수,서울,양천구,5,3,남,con,44,,47.25,False,-1.2666524032564006,,경영,False,0.00019287647447529396,3
박순주,서울,양천구,5,2,남,rev,55,,47.25,False,-0.4833354418459133,,,False,0.00011317254210660953,3
곽재영,서울,양천구,5,3,남,rem,48,,47.25,False,-2.1922358415094068,,,False,,3
강웅원,서울,양천구,5,3,남,con,49,,47.25,True,-0.9786529735891306,,,False,0.00032591003069716985,3
조진호,서울,양천구,5,3,남,con,51,,47.25,False,-1.3441983122415158,,,False,0.04398558321532706,3
심광식,서울,양천구,5,2,남,rev,51,,47.25,False,-0.4111945667522019,,경영,False,8.765144490477786e-05,3
정욱채,서울,양천구,5,3,남,rem,68,,47.25,False,-2.198450529960532,,,False,4.1316708707416844e-07,3
김영주,서울,양천구,5,3,남,con,56,,47.25,True,-1.0053552706634221,,경영,False,0.041754113835203784,3
이강길,서울,양천구,5,3,,rev,58,,47.25,False,-0.9392440830795544,,경제,False,0.00015884055851846492,3
김연수,서울,양천구,5,3,남,rev,51,,47.25,False,-1.037469532125057,,,False,0.013681395911508987,3
김종섭,서울,양천구,5,3,남,rev,53,,47.25,False,-3.5869720889601315,,,False,0.017786765901204683,3
이운재,서울,양천구,5,3,남,rem,61,,47.25,False,-2.2163443130672924,,,False,0.011898723525172076,3
오진환,서울,양천구,5,3,남,con,50,,47.25,True,-1.051562952622742,,,False,0.0181200329848902,3
김종화,서울,,5,3,남,con,56,,47.25,False,-1.9836709846003249,,행정,False,0.0012141337721689946,3
장영기,서울,양천구,5,2,,rev,50,,47.25,False,-0.3971393152500945,,,False,0.000445617058969776,3
신성호,서울,양천구,5,3,남,rem,53,,47.25,False,-2.2655555794027724,,,False,0.0014302594126499926,3
장원일,서울,양천구,5,3,남,rem,49,,47.25,False,-2.9652730660692823,,,False,0.0005299030709528113,3
조종구,서울,양천구,5,3,남,rem,49,,47.25,False,-2.9177089776405127,,,False,3.2057791441346783e-06,3
,서울,양천구,5,3,남,con,48,,47.25,True,-0.8391597187829899,,,False,1.7149608241645769e-06,3
문병상,서울,양천구,5,3,남,con,53,,47.25,False,-1.6924352612825664,,,False,6.52042144512221e-05,3
신상균,서울,양천구,5,2,남,rev,,,47.25,False,-0.33411993299424425,,,False,0.0009087768916721748,3
윤인숙,서울,양천구,5,,여,rem,54,,47.25,False,-2.171187701694473,,,False,0.00020056031259667054,3
강석주,서울,강서구,5,3,남,con,53,,47.25,True,-0.9704004862458232,,,False,0.044997414951017584,2
박학용,서울,강서구,5,3,남,con,52,,47.25,False,-2.0574201670529093,,,False,0.00013248558603500902,2
권오복,서울,강서구,5,3,남,rev,57,,47.25,False,-1.1293178294466446,,,False,0.0014760813908401705,2
고재익,서울,강서구,5,3,남,rev,56,,47.25,False,-1.939554812367168,,법,False,0.00026056764421325795,2
최대현,서울,강서구,5,3,남,rev,32,정당인,47.25,False,-2.173975391114142,서울대,,False,0.21077835371729445,2
신낙형,서울,강서구,5,3,남,rev,51,,47.25,False,-2.059189755812087,연세대,행정,False,0.0003603982812664901,2
김기홍,서울,강서구,5,3,남,con,56,,,True,-0.704432467832655,,,False,0.02495233339651209,2
박상구,서울,강서구,5,,남,rev,47,,47.25,False,-0.5736505983552534,,법,False,0.004842164660719394,2
최동철,서울,강서구,5,3,남,rev,45,,47.25,False,-1.0649367352701535,고려대,행정,False,0.00436179464099913,2
문양일,서울,강서구,5,3,남,rem,69,,47.25,False,-3.6318887511408464,,행정,False,3.488931065443572e-06,2
김선경,서울,강서구,5,3,남,con,59,정당인,47.25,True,-0.8884779067976726,연세대,행정,False,0.3503177466374101,2
경기문,서울,강서구,,3,남,con,46,,47.25,False,-1.2268471672354395,,정치,False,0.00023574113002704442,2
김병진,서울,강서구,5,3,,rev,49,,47.25,False,-0.16277241200307835,,,False,0.02010572255073744,2
황동현,서울,강서구,5,3,남,con,43,,47.25,True,-0.8567251092421004,고려대,경영,False,0.002472774800760158,2
송훈,서울,강서구,5,3,남,con,45,,47.25,False,-2.0515676770413345,,,,0.09167483510091336,2
신창욱,,강서구,5,3,남,rev,54,정당인,47.25,False,-1.0471525730713271,,,False,0.00023102757424052383,2
장상기,서울,강서구,5,3,남,rev,47,,47.25,False,-1.455519067794139,,경영,False,0.000895847933351533,2
안상준,서울,강서구,5,3,남,rev,46,정당인,47.25,False,-2.081057311945726,,정치,False,0.0031471311030396047,2
정장훈,서울,강서구,5,1,남,con,49,,47.25,True,-0.35581846667927786,,경제,False,0.0006431974010030612,2
박성호,서울,강서구,5,3,남,rev,49,,47.25,False,-0.702431937243777,,,False,0.10579717728907637,2
곽판구,서울,강서구,5,3,남,rev,55,,47.25,False,-1.1714332237127274,,,False,2.012820507025547e-05,2
황준환,서울,강서구,5,1,남,con,53,,47.25,True,-0.357948083417603,,경영,True,0.0008432844523162898,2
송영섭,,강서구,5,3,남,rev,54,,47.25,False,-0.698246502258502,,행정,True,0.005562622399417554,2
임화숙,서울,강서구,5,3,여,rev,44,,47.25,False,-1.6376302557683662,고려대,,False,0.00013658712297946778,2
박현숙,서울,강서구,5,3,여,rev,45,정당인,47.25,False,-2.5601272475745684,,,False,,2
이명호,서울,강서구,5,3,남,con,53,,47.25,True,-0.7977417892892792,,,False,0.018014163220695288,2
탁수명,서울,강서구,5,3,남,con,65,정당인,47.25,False,-1.634947303717272,,,True,2.644233863496332e-06,2
이영철,서울,강서구,5,3,남,rev,63,,47.25,False,-1.0408883475010742,,행정,True,0.03273517041446042,2
이종신,서울,강서구,5,3,남,rev,51,,47.25,False,-1.4762745220217444,,경영,True,0.0030203692522752608,2
권오근,서울,강서구,5,3,남,rem,43,,47.25,False,-3.310023164061031,,,False,0.0009435012364432102,2
김재용,서울,,5,3,남,rem,41,,47.25,False,-4.188818970979029,,행정,False,0.02460912168385073,2
장계자,서울,강서구,5,3,여,con,56,정당인,47.25,True,-1.178074309954038,,,False,2.1801690984961244e-06,2
김태운,서울,강서구,5,3,남,con,41,,47.25,False,-1.3647063935702903,,,True,,2
이연구,서울,강서구,5,3,남,rev,56,,47.25,False,-0.6237458066204953,,,False,0.0013371120286619687,2
황영호,서울,강서구,5,3,남,rev,53,,47.25,False,-1.5885607354133595,,,False,0.0068257783948131225,2
박용순,서울,구로구,5,1,남,con,52,정당인,47.25,True,-1.0312476400646196,,경영,False,0.012115743875443329,2
박칠성,서울,구로구,5,3,남,rev,49,,47.25,False,-0.7465489932338978,,정치,False,0.003434879042328859,2
최미자,서울,구로구,5,3,여,rev,47,,47.25,False,-1.7473825429528596,,,True,0.001774720359218985,2
조상수,서울,구로구,5,3,남,rem,55,,47.25,False,-3.506923963032865,,,False,0.0010741835843411547,2
장인홍,서울,구로구,5,3,남,rem,43,,,False,-1.2871425029170551,,경영,False,0.0004546083207265832,2
허성근,서울,구로구,5,3,남,con,56,,47.25,True,-1.0988603353021484,,,False,3.2692132800230785e-05,2
윤주철,서울,구로구,5,3,남,con,56,,47.25,False,-1.5129315520151358,,,False,0.0002354454630951858,2
박종현,서울,구로구,5,,남,rev,53,,47.25,,-0.5701790516916294,,,False,0.014440269174060159,2
송은주,서울,구로구,5,3,여,rev,,,47.25,False,-1.4952163281882334,,,False,,2
류정숙,서울,구로구,5,1,여,con,59,,47.25,True,-0.6840103052627943,,,False,3.6360699082415916e-05,2
김병훈,서울,구로구,5,3,남,rev,56,,47.25,False,-0.1700991088768281,,,False,0.009179294773385516,2
김호승,서울,구로구,5,3,남,rev,55,정당인,47.25,False,-1.4602235556933665,,,False,0.001349353570198181,2
황규복,서울,구로구,5,3,남,con,48,정당인,47.25,True,-0.8531608999489209,,,False,0.0013170436775096028,2
박상민,서울,구로구,5,3,남,con,62,정당인,47.25,False,-2.262025945104296,,행정,False,0.5440342875299871,2
방명수,서울,구로구,5,3,남,con,56,,47.25,False,-2.7786375804416026,,,False,0.0003169192459093238,2
윤수찬,서울,구로구,5,3,남,rev,43,정당인,47.25,False,-0.9437188878410734,고려대,행정,,0.0005489538793476182,2
김영곤,서울,구로구,5,3,남,rev,42,,47.25,False,-2.1827625339892287,,,False,0.010330592433763537,2
곽병기,서울,구로구,5,3,남,con,61,정당인,47.25,False,-3.4508064628596435,,,True,0.00035229088191586884,2
홍준호,서울,,5,3,남,rev,,정당인,47.25,False,,,,False,0.006810967845232153,2
강태석,서울,구로구,5,3,남,con,61,,47.25,True,-1.1552207243061574,,법,False,0.05026240976746117,2
황선봉,서울,구로구,5,3,남,con,53,,47.25,False,-1.7861666862295742,,,False,0.0017943388937250657,2
박동웅,서울,구로구,5,3,남,rev,42,,47.25,False,-0.7547850153062179,,경영,True,0.0004342096347618704,2
최정문,서울,구로구,5,3,남,rem,41,,47.25,False,-1.2770556610644128,,정치,,0.3174616796734597,2
곽윤희,서울,구로구,5,3,여,con,52,정당인,47.25,True,-1.4250302093442389,,,False,0.0011150590438893284,2
김응주,서울,구로구,5,3,남,con,48,정당인,47.25,False,-2.4934338332402266,,,False,0.0016309768826670314,2
김남광,서울,구로구,5,3,남,con,46,,47.25,False,-1.91519943088638,,경영,False,0.00030852883577407795,2
김명조,서울,구로구,5,3,여,rev,45,,47.25,False,-1.3295534629010908,,,False,0.00093143522847376,2
김창범,서울,구로구,5,3,남,rev,62,,47.25,False,-2.0976510955077075,,,False,0.004454102357751415,2
김희서,서울,구로구,5,3,남,rev,32,정당인,47.25,False,-2.116708301780677,,정치,False,0.004814575462129695,2
모기덕,서울,구로구,5,3,남,rev,48,,47.25,False,-3.5069965765963613,,,True,,2
이흥범,서울,구로구,5,3,남,rem,70,,47.25,False,-4.123909402217722,,,False,4.934459048878707e-05,2
장현복,서울,구로구,5,3,남,rem,50,,47.25,False,-2.6367043125354503,,,False,2.8946025901698023e-05,2
오경택,서울,구로구,5,3,남,rem,47,,47.25,False,-3.330175675444057,,,False,0.0024440372277132905,2
류은무,서울,금천구,5,3,남,con,63,,47.25,True,-1.1812133556557691,,,False,5.641688689137855e-07,2
박찬길,서울,금천구,5,3,남,con,57,,47.25,False,-1.5026139751463887,,,False,0.0018460998725288794,2
채인묵,서울,금천구,5,3,남,rev,48,정당인,47.25,False,-0.5347658313119992,,법,False,0.0011850781937978614,2
김용성,서울,금천구,5,3,남,rev,59,,47.25,False,-1.5664435346983825,,,False,0.02121172751211134,2
정병재,서울,금천구,5,3,남,con,64,,47.25,True,-1.2683601122208414,연세대,행정,False,0.000209418537455126,2
박양희,서울,금천구,5,,여,con,56,정당인,47.25,False,-2.4260341840323294,,,False,0.0014605288575868596,2
이동복,서울,금천구,5,3,남,con,58,,47.25,False,-2.459566525605497,,,False,0.006947365295667489,2
김영섭,서울,금천구,5,3,남,rev,50,,47.25,False,-0.7042698492954284,,,False,0.01841560812300411,2
강태섭,서울,금천구,5,3,남,rev,55,,47.25,False,-1.5632758706709378,,,False,0.0004347287486006625,2
이범기,서울,금천구,5,3,남,rem,54,,47.25,False,-2.3889573315748587,,,False,0.00022406597426262272,2
강구덕,서울,금천구,5,,남,con,51,,47.25,True,-0.7202331057005666,,행정,False,0.002261154905265343,2
윤장중,서울,금천구,5,,남,con,64,,47.25,False,-2.1980294063535064,,법,True,7.519326990865845e-05,2
서복성,서울,금천구,5,3,남,rev,42,,47.25,False,-0.7881723771205952,,,False,8.712265326184761e-05,2
윤석오,서울,금천구,5,3,,,63,,47.25,False,-1.7617685286800269,,,False,0.0052582793216291316,2
유영일,서울,금천구,5,3,남,rem,52,,47.25,False,-2.810930165256964,,행정,False,0.0013916867324963345,
이현재,서울,금천구,5,3,남,rem,48,,47.25,False,-3.697163706712197,,,True,0.8774069481436675,2
박만선,서울,금천구,5,3,남,con,49,,47.25,True,-0.9194372914108621,,,False,0.0005692509541808305,2
문준진,서울,금천구,,3,남,con,57,,47.25,False,-2.0048575857005773,,경영,False,1.3096309848428385e-06,2
김두성,서울,금천구,5,3,남,rev,61,,47.25,False,-1.115453623146654,,,False,0.0019827515585738725,2
