이름,위치,선거구,회,몇번,gender,정당,나이,job,당시여당평가,당선,득표율,학력,과,경력,인지,지역구분
김건우,서울,중구,7,3,남,con,28,정당인,74.43499999999997,False,-1.570930271925595,,,False,0.07856254512446363,2
양찬현,서울,중구,7,3,남,rev,52,,74.43499999999997,False,-2.444321369672922,,행정,True,7.509104298954109e-05,2
황금선,서울,용산구,7,1,여,rev,52,정당인,74.43499999999997,True,0.19962423464630516,,,False,0.00019284206052018333,1
김정재,서울,용산구,7,2,남,con,57,,74.43499999999997,False,-0.8882628572734591,고려대,정치,False,0.02152609100151751,1
,서울,용산구,7,3,남,con,62,,74.43499999999997,False,-2.274022395042428,,행정,True,0.00017570116741628865,1
김은희,서울,,7,3,여,rev,41,,74.43499999999997,False,-3.4325694606411528,,,False,0.1183840540296111,1
이상순,서울,용산구,7,1,여,rev,57,,74.43499999999997,True,-0.2485311196716464,연세대,행정,False,0.20091900964576387,1
오천진,서울,용산구,7,,,con,56,,74.43499999999997,False,-1.0657504976474554,,,False,0.00012593482762392926,1
김성열,서울,용산구,7,3,남,con,56,,74.43499999999997,False,-1.838279484862948,,,True,0.0015352522091828574,1
이원영,서울,용산구,7,3,남,rev,,,74.43499999999997,False,-1.8195983608541464,,,,0.006395455877713308,1
김철식,서울,용산구,7,1,남,rev,58,,74.43499999999997,True,-0.22733718217153595,,법,True,0.0001665093613077223,1
고진숙,서울,용산구,7,2,여,con,56,,,False,-0.522908958887498,,,False,0.00014149691187980977,1
김순옥,서울,용산구,,3,,con,30,정당인,74.43499999999997,False,-1.6999361236304316,,행정,False,0.04237756034722615,1
장정호,서울,용산구,7,1,남,rev,54,,74.43499999999997,True,0.2645186638645174,,행정,False,0.0007353313649516867,1
최병산,서울,용산구,7,2,남,con,52,,74.43499999999997,False,,,,False,7.27630292252053e-05,1
윤석훈,서울,용산구,7,3,남,con,67,정당인,74.43499999999997,False,-1.9192755818520302,,,False,0.0005441225219001065,1
김정훈,서울,,7,3,남,rem,48,,74.43499999999997,False,-3.598589982766476,,,,0.5910933891940227,1
윤성국,서울,용산구,7,3,남,rev,63,,74.43499999999997,True,-1.1267044440729297,,,False,0.00048534586471557625,1
김형원,서울,용산구,7,3,남,rev,61,,74.43499999999997,False,-1.715392938150322,,행정,True,0.0008876842319811082,1
김정준,서울,용산구,7,3,남,con,57,,74.43499999999997,False,-1.308719924347949,,행정,False,0.012396042188937341,1
이미재,서울,용산구,7,3,여,con,61,정당인,74.43499999999997,False,-1.9263070509876967,,행정,False,0.00014060923301521905,1
이산하,서울,용산구,7,3,남,con,27,,74.43499999999997,False,,,,False,0.001097178276367063,1
설혜영,서울,용산구,7,,여,rev,39,정당인,74.43499999999997,False,-1.7079355035737669,,행정,False,0.0006076266551213477,1
황선화,서울,성동구,7,3,여,rev,38,정당인,74.43499999999997,True,-0.7110834304984255,,법,False,0.0010348815099722694,2
양옥희,서울,성동구,7,3,여,rev,59,,74.43499999999997,False,-1.5186573520139832,,,False,0.00012743373520201896,2
은복실,서울,성동구,7,3,여,con,64,,74.43499999999997,False,-1.6953343045814542,,행정,False,9.942149424327254e-05,2
엄경석,서울,성동구,7,3,남,con,55,,74.43499999999997,False,-2.1124652723995347,,,False,8.246405621529555e-05,2
김준호,서울,성동구,7,,남,con,31,정당인,74.43499999999997,False,-2.2209953427125657,,,True,0.1877615056907083,2
임종기,서울,성동구,7,3,남,rev,59,,74.43499999999997,False,-2.31688596716136,,,False,0.0005662133334015853,2
이성수,서울,성동구,7,3,남,rev,62,,,True,-0.543639349214034,,행정,False,0.0026338717930694537,2
김현주,서울,성동구,7,3,여,rev,50,정당인,74.43499999999997,False,-0.850316232287583,,,True,0.1725929903245893,2
신동욱,서울,성동구,7,3,남,con,62,,74.43499999999997,False,-1.1979669731602425,,,False,0.5838413453759448,2
,서울,성동구,7,3,여,con,59,정당인,74.43499999999997,False,-3.1598289850544865,,,True,0.00018392166973182518,2
남연희,서울,성동구,7,3,여,rev,63,,74.43499999999997,True,-0.4341355203887802,,,True,0.0002272954266455289,2
김종곤,서울,성동구,7,3,남,rev,53,,74.43499999999997,False,-0.9777536587965432,,법,False,,2
이상철,서울,성동구,7,2,남,con,69,,74.43499999999997,False,-1.3402940804057764,,,False,0.007849896378646729,2
정교진,서울,성동구,7,3,남,con,51,정당인,74.43499999999997,False,-2.2879993750728183,,,True,0.00019379396664295296,2
민운기,서울,성동구,7,3,남,rev,46,,74.43499999999997,True,-0.2998567302604458,,,False,0.00029445490459466267,2
오천수,서울,성동구,7,3,남,rev,62,정당인,74.43499999999997,False,-1.2815323427664722,,,False,0.00012122463133056917,2
박영희,,성동구,7,2,여,con,,정당인,74.43499999999997,False,-1.379111159376398,,법,False,0.0019345505381470585,2
김영주,서울,성동구,7,3,남,con,68,정당인,74.43499999999997,False,-2.0598697861354243,,,False,0.04022404883249369,2
,서울,광진구,7,3,남,rev,39,,74.43499999999997,True,-0.5429701977387462,,법,False,0.00039623212806896385,2
추윤구,서울,광진구,7,3,남,rev,76,정당인,74.43499999999997,,-1.088929194831222,,,False,0.0004049762488999504,2
안문환,서울,광진구,,3,남,con,59,,74.43499999999997,False,-1.7445649222568698,,행정,False,0.00021146607410563653,
공영목,서울,광진구,7,3,남,con,61,,74.43499999999997,False,-2.598259931408017,,경영,False,0.00015437383262528216,2
나경식,서울,광진구,7,3,남,con,66,정당인,74.43499999999997,False,-3.040596263806844,,행정,False,9.984595334165072e-05,2
이원일,서울,광진구,7,3,남,rev,60,,74.43499999999997,False,-4.2521938238252215,,,True,0.2318482830324089,2
김주현,서울,광진구,7,3,남,rev,42,,74.43499999999997,False,-2.739390951260636,연세대,,False,0.24280542588141046,2
이명옥,서울,광진구,7,3,여,rev,55,,74.43499999999997,True,-0.4459401213619266,,경영,False,0.002037214456980189,2
고양석,서울,광진구,7,3,남,,66,,74.43499999999997,False,-1.1586185478750826,,,True,0.000264795248127524,2
이경호,서울,광진구,7,2,,con,50,정당인,74.43499999999997,False,,고려대,,True,0.0053774492235346754,2
김기란,서울,광진구,7,3,,con,55,정당인,74.43499999999997,False,-2.0139561812963565,,,False,0.00041495931540009266,2
김미영,서울,광진구,7,3,여,rev,42,정당인,74.43499999999997,True,-0.4176751954610417,,,True,0.012764604772788457,
박삼례,서울,광진구,7,3,여,rev,63,정당인,74.43499999999997,False,-1.2110031976060027,,행정,False,0.0003062037996071754,2
문경숙,서울,광진구,7,3,여,con,,정당인,74.43499999999997,False,-1.9536616251132688,,,False,0.00047876615670103067,2
김영옥,서울,,7,3,여,con,56,,74.43499999999997,False,-2.1945556850097283,,,,0.24062416895016506,2
강문만,서울,광진구,7,3,남,con,,,74.43499999999997,False,-2.1092025888406662,,,True,0.00015124470261303278,2
장길천,서울,광진구,7,3,남,rev,55,정당인,,True,-0.6610495863138085,,,False,0.00023373339070551841,2
박순복,서울,광진구,7,3,여,rev,50,,74.43499999999997,False,,,,False,0.0005176764719132562,2
전은혜,서울,광진구,7,2,여,con,57,,74.43499999999997,False,-1.3323173831659154,,,False,0.002628031270751396,2
이수진,서울,광진구,7,3,여,con,49,,74.43499999999997,,-2.2458417778650857,,행정,False,0.2514627261462393,2
김창현,서울,광진구,7,3,남,rev,54,정당인,74.43499999999997,False,-2.7230317547178267,,행정,False,0.006430368892529039,2
빈재욱,서울,,7,3,남,rev,28,정당인,74.43499999999997,False,-2.596683661384172,,,False,0.0003874540510835376,2
김남길,서울,동대문구,7,3,남,rev,56,,74.43499999999997,True,-0.29566961274861603,,,True,0.3937996960536732,2
서정인,서울,동대문구,7,3,남,rev,58,,74.43499999999997,False,-1.2903865763146742,서울대,,False,0.0013544349850772976,2
이순영,서울,동대문구,7,2,여,con,65,,74.43499999999997,False,,,,False,0.001343700125748698,2
정은숙,서울,동대문구,7,3,여,,52,정당인,74.43499999999997,False,,,법,True,0.14249654128189598,2
이영남,서울,동대문구,7,3,남,rev,53,,74.43499999999997,True,-0.5616515507268346,,행정,False,0.0009415708797511828,2
양종구,서울,동대문구,7,,남,rev,63,,74.43499999999997,False,-1.4715836969290073,,,False,6.537941098169042e-05,2
임현숙,서울,동대문구,7,2,여,con,60,,74.43499999999997,False,-1.252946538941042,,,False,0.0004356153459668992,2
주정,서울,동대문구,7,3,남,con,56,,74.43499999999997,False,-1.6687060106182643,,행정,True,0.005862013848854926,
박정학,,동대문구,7,3,남,rem,49,,74.43499999999997,False,-3.1882998216219836,,법,True,0.00999046369870532,2
이강숙,서울,동대문구,7,1,여,rev,58,,74.43499999999997,True,0.2735407027290296,,,,0.00029112145642614084,2
오세찬,서울,동대문구,7,2,남,con,61,,74.43499999999997,False,-0.9967157756257576,,,False,,2
이웅섭,서울,동대문구,7,3,남,con,51,정당인,74.43499999999997,False,-1.8492283670340013,,,False,4.6853241921081095e-05,2
김창규,,동대문구,7,1,남,,54,,74.43499999999997,True,-0.027692140820953517,,행정,False,0.0015436541585317836,2
전범일,서울,동대문구,7,2,남,con,53,,74.43499999999997,False,-1.233697525189856,,,False,3.67791993337414e-05,2
정승환,서울,동대문구,7,3,남,con,56,,74.43499999999997,False,-1.9065764989771845,,,False,0.2972206226419936,2
오정빈,서울,동대문구,7,3,남,rev,29,정당인,74.43499999999997,False,-1.907624569348356,,정치,True,0.0003590197730085485,2
김정수,서울,동대문구,7,1,남,rev,36,,,True,0.09280307930720252,,경영,False,0.02006038872643806,2
남궁역,서울,동대문구,7,2,남,con,63,,74.43499999999997,False,-0.9869800904624056,,경영,False,0.00011627517151998865,2
구병석,서울,동대문구,7,3,남,con,62,,74.43499999999997,False,-1.9358398778078227,,,,2.9547809475733893e-05,
윤미연,서울,동대문구,7,3,여,rev,27,정당인,74.43499999999997,False,-2.9390913728398456,,,False,0.0013382253013390635,2
,서울,동대문구,7,3,남,rev,62,,74.43499999999997,True,-0.4199411113063323,,행정,,0.05394315091350118,2
이의안,서울,동대문구,7,3,여,rev,58,,74.43499999999997,False,-1.0975744058556898,,,,6.769397733570515e-05,
안외돈,서울,동대문구,7,2,남,con,61,,74.43499999999997,False,-1.2739942382898322,,경영,True,3.456748270389792e-05,2
정성영,서울,동대문구,7,3,남,con,59,정당인,74.43499999999997,False,-2.1279413036401698,,행정,False,0.0067292954553369215,2
민경옥,서울,동대문구,7,3,여,rev,55,,74.43499999999997,True,-0.5826504525651683,,법,False,0.0006210065401840325,2
이주환,서울,동대문구,7,3,남,rev,62,,74.43499999999997,False,-1.1556363359889503,,경영,True,0.0051173222932726,2
신복자,서울,동대문구,7,2,여,con,64,,74.43499999999997,False,-1.1113278543887986,,,False,0.0001383984699214477,2
김주형,서울,동대문구,7,3,남,con,55,,,False,-2.4488137686357523,,행정,False,0.036903405804563465,2
이규서,서울,동대문구,7,3,남,rem,51,,74.43499999999997,False,-2.9564425925052378,,,,0.00017838200910634018,2
이태인,서울,동대문구,7,3,남,rev,61,,74.43499999999997,True,-0.34628237956356844,,,False,0.000992014773484974,2
이재식,서울,동대문구,7,3,남,rev,63,,74.43499999999997,False,-1.149912813687509,,경영,,0.0015918748831304855,2
권재혁,서울,동대문구,7,2,남,con,54,,74.43499999999997,False,-1.1257867319952413,,,False,0.0009124095448141893,2
이다연,서울,동대문구,7,3,여,con,49,,74.43499999999997,False,-2.5937307776142835,,,False,0.014893908612754725,2
박열완,서울,중랑구,7,,남,rev,47,,74.43499999999997,True,-0.2174201652615246,,,True,7.911715644803872e-05,3
권헌수,서울,중랑구,7,3,남,rev,63,,74.43499999999997,False,-1.6996615688680186,,,False,4.7724138810819595e-05,3
신하균,,중랑구,7,2,남,con,61,,,False,-0.9473056028245322,,,False,0.21675506682468385,3
조경원,서울,중랑구,7,3,남,con,55,,74.43499999999997,False,-2.540941373982736,,경영,False,0.00036995576201951036,3
나은하,서울,중랑구,7,3,여,rev,54,정당인,74.43499999999997,True,-0.3206566447495764,,,False,0.00010729317371090377,3
정선옥,서울,중랑구,7,3,여,rev,57,,74.43499999999997,False,-1.4744566137994488,,,False,0.00013247283131353842,3
조성연,서울,중랑구,7,2,남,con,62,,74.43499999999997,False,-1.1131483469279029,,,False,0.0037320044125996733,3
김원식,서울,중랑구,7,3,남,con,47,정당인,74.43499999999997,False,-2.1225577223294296,,,False,0.010430922032780829,3
최은주,서울,중랑구,7,3,여,rev,44,정당인,74.43499999999997,True,-0.4434501114200074,,,True,0.1453201456637379,3
조희종,서울,,7,3,남,rev,62,정당인,74.43499999999997,False,-1.1126148880621884,,,True,0.0001399762549668735,3
서상혁,서울,중랑구,7,3,남,con,40,,74.43499999999997,False,-1.6064077358096986,,경영,False,0.0006938956152868728,3
김영록,서울,중랑구,7,3,,con,53,,74.43499999999997,False,-2.808596488023405,,,True,0.010706357904685984,3
조현우,서울,중랑구,7,3,남,con,53,,74.43499999999997,,-2.741884121410437,,,False,0.5141145614054912,3
김준명,서울,중랑구,7,3,남,rev,64,정당인,74.43499999999997,,-4.0005006743849965,,행정,,0.0002613850665813136,3
최경호,서울,중랑구,7,3,남,rem,80,,74.43499999999997,False,-4.39098733268609,,,False,,3
이병우,서울,중랑구,7,3,남,rev,48,,74.43499999999997,True,-0.3970100566494762,,,False,0.0101347269926502,3
이윤재,서울,중랑구,7,3,남,rev,57,정당인,74.43499999999997,False,-1.2763827356788762,,행정,False,0.006591256693383728,3
장신자,서울,중랑구,7,2,여,con,55,,74.43499999999997,False,-1.1354769800302684,,행정,True,0.001106618063542072,3
심시권,서울,중랑구,7,,남,con,65,,74.43499999999997,False,-2.8167446705797934,,,False,2.703641321977824e-05,3
김민상,서울,중랑구,7,3,남,rem,28,,74.43499999999997,False,-2.8787194330244583,,경영,False,0.011268501327488434,3
임익모,서울,중랑구,7,1,남,rev,50,,74.43499999999997,True,0.3088582206170293,,,False,,3
,서울,중랑구,7,2,여,,,,74.43499999999997,False,-1.0763910367927212,,행정,True,0.004403423373598093,3
전경구,서울,중랑구,7,3,남,con,57,정당인,74.43499999999997,False,,,,False,5.606538889229277e-05,3
은승희,서울,중랑구,7,1,여,rev,52,,74.43499999999997,True,0.2836046415364064,,,False,6.317528595967013e-05,3
왕보현,서울,중랑구,7,2,남,con,59,,,False,-0.9224029174179892,,,False,7.313747005484691e-05,3
박동혁,서울,중랑구,7,3,남,con,31,정당인,74.43499999999997,False,-2.053326285487417,,법,False,0.003072812382656176,3
최경보,서울,중랑구,7,1,남,rev,62,정당인,,True,0.2266077508940166,,,False,8.02058733924987e-05,3
김진영,서울,중랑구,7,2,여,con,,,74.43499999999997,,-0.9160414915764604,,,True,0.032518964187611084,3
서만석,서울,중랑구,7,3,남,con,62,,74.43499999999997,False,-2.5632103034810343,,,False,0.0001302956928996203,3
,서울,중랑구,7,3,여,rev,31,정당인,74.43499999999997,,-3.2854623612852745,,,True,0.02644979509996516,3
김노환,서울,중랑구,7,3,남,rem,67,,74.43499999999997,False,-3.5636351282755574,,행정,False,2.4451670074756424e-05,3
임태근,서울,성북구,7,1,남,rev,65,정당인,74.43499999999997,True,0.14480053887738936,,,,0.0018619283206897602,2
한건희,서울,성북구,7,2,남,con,34,정당인,74.43499999999997,False,-1.2648513773611445,,,True,0.0013188156440983644,2
송대식,서울,성북구,7,3,,con,55,정당인,74.43499999999997,False,-1.3422655708703493,,행정,False,0.0004184374028336217,
한신,서울,성북구,7,3,남,rev,49,정당인,74.43499999999997,True,-0.4408388554949332,,행정,False,0.029278008329444168,2
안향자,서울,성북구,7,3,여,rev,54,정당인,74.43499999999997,False,-1.3955720949981276,,,False,0.000423812567467252,2
노원정,서울,성북구,7,,여,con,47,정당인,74.43499999999997,False,-1.491190807094183,,,False,0.00039323621737477463,2
윤만환,서울,성북구,7,3,남,con,67,,74.43499999999997,False,,,행정,False,0.0002607836817444445,2
주세훈,서울,성북구,7,3,남,rev,29,,74.43499999999997,False,-2.571000122276084,,,False,0.003216200255681144,2
정종성,서울,성북구,7,3,남,rev,38,,74.43499999999997,False,-5.532964961670811,,,False,0.0005083236829724787,2
양순임,서울,성북구,7,3,여,rev,56,정당인,74.43499999999997,True,-0.42651955301678696,,,True,0.0005837588535953607,2
이광남,서울,성북구,7,3,,rev,67,,74.43499999999997,False,-1.2793915350767766,,행정,False,0.0006482369937839536,2
임현주,서울,성북구,7,2,여,con,48,정당인,74.43499999999997,False,-1.3801574562370749,,,True,0.6966921489692969,2
,서울,,7,3,남,con,61,정당인,74.43499999999997,False,-1.940300742814654,,,False,0.0003157006078873116,2
이유경,서울,성북구,7,3,남,rem,58,,74.43499999999997,False,-3.3855175389621395,,,,0.03066375561188005,2
윤정자,서울,성북구,7,3,여,rev,64,정당인,74.43499999999997,True,-0.9121525294524864,,,False,,2
김우섭,,성북구,7,,남,rev,42,,,False,-0.5753402554638876,,,False,0.005170322407208083,2
박종훈,서울,성북구,7,2,남,con,47,정당인,74.43499999999997,False,-1.5734203968945653,,,False,0.13924238854170154,2
송영희,서울,성북구,7,3,여,con,39,정당인,74.43499999999997,,-1.8519613116867357,,,True,0.0014730292136675887,2
김병호,서울,성북구,7,3,남,rem,29,,74.43499999999997,False,-3.61491784718208,,경영,False,0.010982485187550416,2
오중균,서울,성북구,7,1,남,rev,57,,74.43499999999997,True,0.3949233484909717,,행정,False,,2
김오식,서울,성북구,7,2,남,,51,정당인,74.43499999999997,False,-1.318708324117683,,행정,False,0.00011720676425595196,2
권영애,서울,성북구,7,3,여,con,58,정당인,74.43499999999997,,-1.6941794120976592,,,False,0.0051287240079424725,2
이인순,서울,성북구,7,3,,rev,56,,74.43499999999997,True,-0.4050159222499661,,,False,0.0030816210233618976,2
김세운,서울,성북구,7,3,남,rev,,,74.43499999999997,False,-1.1439589637315886,,,True,0.002042113020339721,2
박학동,서울,성북구,7,2,남,con,64,,74.43499999999997,False,-1.3071905417727971,,행정,False,0.00018232713937938488,2
서진웅,서울,,7,3,남,,60,정당인,74.43499999999997,False,-2.1728322199650383,,법,True,0.0013441485805717743,2
안홍권,서울,성북구,7,3,남,rev,69,정당인,74.43499999999997,False,-4.151450639748888,,행정,True,4.831096587099857e-05,2
김일영,서울,성북구,7,1,남,rev,62,,74.43499999999997,True,0.2582003423389179,,행정,False,0.005117915359840075,2
진선아,서울,성북구,7,2,여,con,51,,74.43499999999997,False,-0.9408985312655463,,,False,0.00016081293021509308,2
박용수,서울,성북구,7,3,남,con,65,,74.43499999999997,False,-2.022637162575115,,정치,True,0.018159436383155862,2
이호건,서울,성북구,7,1,남,rev,38,,74.43499999999997,True,0.13634597205330734,,경영,False,0.005174219463106331,2
정기혁,서울,성북구,7,2,남,con,44,정당인,74.43499999999997,False,-1.1300788412042122,,,True,0.0003723535553777471,2
이은영,서울,성북구,7,3,여,con,35,,74.43499999999997,False,-1.5039943713289268,연세대,,False,0.0349143782792258,2
김명희,서울,강북구,7,3,여,rev,43,,74.43499999999997,True,-0.5361387681817781,,행정,,0.02129106934694897,2
김영준,서울,강북구,7,3,남,rev,61,,74.43499999999997,False,,,,False,0.05892038064299284,2
유인애,서울,강북구,7,2,여,con,58,정당인,74.43499999999997,False,-1.0574616972008493,,,False,0.00244809471177949,2
이덕영,서울,강북구,7,3,남,con,61,,74.43499999999997,False,-2.446845757609428,,,True,0.0017179371390346069,2
이상혁,서울,강북구,7,3,남,rev,31,,74.43499999999997,False,-4.522459926611149,,,False,0.04721035701967291,2
최재성,서울,강북구,7,3,남,rev,38,,74.43499999999997,True,-0.5776202305975163,,법,True,0.17621467438338811,2
이백균,서울,강북구,7,3,남,rev,54,,74.43499999999997,False,-1.309060178878794,,행정,False,0.00023907557369353335,
조윤섭,서울,강북구,7,,남,con,53,정당인,74.43499999999997,False,-1.29188404448222,,,False,0.00016710582080604883,2
김윤준,서울,강북구,7,3,남,con,48,,74.43499999999997,False,-2.4891183142419884,,,False,0.000666163087298538,2
김일웅,서울,강북구,7,3,남,rev,41,,74.43499999999997,False,-2.2830923522408315,,,False,0.002193538058472361,2
최유리,서울,강북구,7,3,여,rev,26,,74.43499999999997,False,-4.343387297553177,,,False,0.04330605228662962,2
서승목,서울,강북구,7,3,남,rev,37,정당인,74.43499999999997,True,-0.3261270336538203,,,False,0.00028316038773669585,2
이용균,서울,강북구,7,,남,rev,47,,74.43499999999997,False,-1.155956082391694,,경영,False,0.00145548290179077,2
이정식,서울,강북구,7,2,남,con,56,,74.43499999999997,False,-1.4467075172669888,,,False,0.007405093195203541,
박종대,서울,,7,3,남,con,55,,74.43499999999997,False,-2.1111861125028044,,,True,,2
조구성,서울,,7,3,남,rev,62,,74.43499999999997,False,-4.320012460920648,,,True,0.0004509186075647188,2
허광행,서울,강북구,7,3,남,rev,39,,74.43499999999997,True,-0.9734560072248024,,행정,False,0.0004528184752979378,2
최치효,서울,강북구,7,3,남,rev,55,,74.43499999999997,False,-1.4203300395310376,,,False,0.0003842897368939455,2
김규진,서울,강북구,7,2,남,con,44,,74.43499999999997,False,-1.5764448839030758,,경영,False,,2
이희백,,강북구,7,3,남,con,61,,74.43499999999997,False,-3.0508377800385222,,경영,False,0.00011932709815543211,2
김성일,서울,강북구,7,3,남,rev,39,,74.43499999999997,False,-5.480865655006039,,행정,False,0.034915740204702554,2
구본승,서울,강북구,7,3,남,rem,43,,74.43499999999997,False,-1.3283905662288586,,법,False,0.5710069199844596,2
이관종,서울,강북구,7,3,남,rem,56,,74.43499999999997,False,-5.352737503790163,서울대,,False,0.000131761688664289,2
박문수,서울,강북구,7,3,남,rem,59,,74.43499999999997,False,-2.6770180918544817,,경영,True,0.02042314068182523,2
이영숙,서울,도봉구,7,3,여,rev,50,,74.43499999999997,True,-0.5968836172921129,,,,0.01907731154292105,2
강철웅,서울,도봉구,7,3,남,rev,44,,74.43499999999997,False,-1.3282108217637596,,,False,0.012461597014446636,2
이경숙,서울,도봉구,7,3,여,con,63,,74.43499999999997,False,-1.7539125939114542,,,False,0.007148712947580225,2
안병건,서울,도봉구,7,3,남,con,53,정당인,74.43499999999997,False,-2.0646083935615827,,,False,0.0003189582519710088,2
양덕희,서울,도봉구,7,3,여,con,50,,74.43499999999997,False,-2.9838037969838567,,경영,True,0.00012944185911806838,2
천창영,서울,도봉구,7,3,남,rev,45,,,False,,,,True,6.030618440027897e-05,2
김소희,서울,도봉구,7,3,여,rem,33,정당인,74.43499999999997,False,-2.4610168479803702,,,False,0.9076004122135602,2
김기순,서울,도봉구,7,3,남,rev,61,정당인,74.43499999999997,True,-0.8679277646198676,,법,False,0.004114196503947538,2
박진식,서울,도봉구,7,3,남,rev,61,,74.43499999999997,False,-1.124010581218308,,행정,False,0.0010470886406555684,2
이금주,서울,도봉구,7,3,남,con,62,,74.43499999999997,False,-2.3411712201409416,,행정,False,,2
홍국표,서울,도봉구,7,3,남,con,66,,74.43499999999997,False,-1.567500256045956,,경영,False,0.0002758841973431712,2
이근옥,서울,도봉구,7,3,남,con,59,,74.43499999999997,False,-2.6417781403494023,,경영,False,0.00011727016615350288,2
윤오,,도봉구,7,3,남,rev,51,정당인,74.43499999999997,False,-2.306988702098394,,정치,,0.008363055692377993,2
유기훈,서울,도봉구,7,3,여,rev,47,,74.43499999999997,True,-0.3549141603738361,,,True,0.00031930084301636853,2
김종임,서울,도봉구,7,3,여,rev,58,,74.43499999999997,False,-1.1714025440577271,,,False,0.0010329761687991486,2
